prix;prix_m2;type_bien;nb_pieces;surface;code_postal;ville
239900;2666;Maison;6;90;76100;Rouen
210000;4200;Appartement;2;50;59160;Lille
238000;4143;START;(appartementneuf;57);78190;TRAPPES
249000;2520;Appartement;4;99;73000;Chambéry
220500;1346;Maison;6;156;27240;Damville
429900;6294;Appartement;3;68;92000;Nanterre
459000;4062;Maison;5;113;78340;Les
315000;4846;Appartement;3;65;93450;L'Île-Saint-Denis
150000;2059;Appartement;3;73;38100;Grenoble
702000;2901;Maison;9;242;68400;Riedisheim
90000;1398;Appartement;4;64;25000;Besançon
99000;1435;Appartement;4;69;25000;Besançon
110000;1923;Appartement;2;57;25000;Besançon
520000;7429;Appartement;2;70;92400;Courbevoie
159000;4689;Appartement;1;32;94320;Thiais
266769;4446;PROGRAMME;IMMOBILIERNEUF;60);66700;Argelès-sur-Mer
359000;3590;Maison;4;100;66140;Canet-en-Roussillon
175000;3889;Appartement;2;45;34410;Sérignan
330000;5156;Appartement;3;64;06200;Nice
365000;9867;Appartement;2;35;75017;Paris
450000;4943;Appartement;5;87;94110;Arcueil
549000;4419;Maison;5;124;83470;Saint-Maximin-la-Sainte-Baume
720000;3750;Maison;7;192;91320;Wissous
288000;1665;Maison;5;173;49400;Saumur
275600;2507;Appartement;5;104;45000;Orléans
595000;6761;Maison;4;88;06210;Mandelieu-la-Napoule
257000;3890;Appartement;3;66;31000;Toulouse
160000;3498;Appartement;2;43;06100;Nice
137000;2635;Appartement;2;52;21240;Talant
70000;2593;Appartement;1;27;47000;Agen
330000;4853;Appartement;3;68;69580;Sathonay-Camp
545000;8385;Appartement;3;65;92120;Montrouge
230000;3067;Appartement;3;75;13001;Marseille
385000;2056;Maison;7;178;29100;Kerlaz
159000;2239;Appartement;3;71;34000;Montpellier
129950;5867;Appartement;2;22;44000;Nantes
405000;9608;Appartement;3;40;75011;Paris
329000;2766;Appartement;5;113;57070;Metz
441000;7603;Appartement;3;58;97434;Saint-Gilles
1150000;10000;Appartement;3;115;06300;Nice
110000;2619;Appartement;2;42;77130;Ville-Saint-Jacques
449300;3971;Maison;6;113;95180;Menucourt
265000;6409;Appartement;2;41;74170;Saint-Gervais-les-Bains
299900;2850;Maison;5;100;49300;Cholet
339000;3006;Maison;6;113;69200;Vénissieux
480000;6076;Appartement;4;79;78000;Versailles
87200;734;Maison;4;109;19340;Merlines
350000;8462;Appartement;2;39;75014;Paris
290000;4028;Appartement;3;72;92260;Fontenay-aux-Roses
350000;8750;Appartement;2;40;75013;Paris
375000;8523;Appartement;2;44;75019;Paris
595000;7727;Appartement;4;77;93100;Montreuil
870000;8956;Appartement;4;97;06160;Juan-les-Pins
499000;6938;Appartement;3;69;92270;Bois-Colombes
196800;3776;Appartement;3;49;93220;Gagny
420000;6962;Maison;3;60;40150;Angresse
208000;5550;Appartement;2;37;83210;Solliès-Pont
