trip_id,departure,destination,duree
OCESN018901F0400417120,Chamonix-Mont-Blanc,Vallorcine,33
OCESN018931F0200217178,Chamonix-Mont-Blanc,St-Gervais-L-B-Le-Fayet,45
OCESN019201F0300317199,Aulnoye Aymeries,Mons,28
OCESN019701F0200217207,Courtrai/Kortrijk,Lille Flandres,36
OCESN019801F0200217254,Maubeuge,Namur,84
OCESN019900F0200217263,Lille Flandres,Tournai,30
OCESN021703F0100117430,Brive-la-Gaillarde,Ussel,106
OCESN021901F0200217431,Dijon-Ville,Nevers,203
OCESN021911F0200217435,Le Creusot,Montchanin,11
OCESN022945F0300317449,Nice-Ville,Tende,137
OCESN022947F0700717451,Breil-sur-Roya,Nice-Ville,70
OCESN023101F0100117467,Annemasse,Coppet,51
OCESN023196F0100117538,Decize,Nevers,33
OCESN023212F0100117551,Annemasse,Genève,23
OCESN023312F0100117644,Coppet,Evian-les-Bains,94
OCESN023314F0100117646,Coppet,Thonon-les-Bains,85
OCESN023360F0200217661,Annemasse,Thonon-les-Bains,33
OCESN023410F0100117673,Annecy,Genève,89
OCESN023410F0200217674,Annecy,Coppet,117
OCESN023416F0300317685,Coppet,La Roche-sur-Foron,79
OCESN023456F0100117742,Coppet,St-Gervais-L-B-Le-Fayet,132
OCESN023462F0200217748,Cluses (Hte-Savoie),Coppet,108
OCESN023722F0300317768,Forbach,Metz-Ville,47
OCESN023740F0400417808,Bening,Metz-Ville,41
OCESN030000R0200217969,Bitche,Haguenau,69
OCESN030001R0300317970,Bitche,Niederbronn,26
OCESN030002R0300317973,Bitche-Camp,Niederbronn,38
OCESN030006R0200217979,Haguenau,Niederbronn,40
OCESN030030R0400418029,Bitche-Camp,Haguenau,76
OCESN030052R0200218051,Haguenau,Strasbourg,50
OCESN030064R0200218057,Haguenau,Wissembourg,37
OCESN030081R0600618069,Bouxwiller-Schattenmann,Haguenau-Moulin-Neuf.,43
OCESN030082R0500518070,Saverne,Niedermodern/Uberach,50
OCESN030083R0200218071,Ingwiller,Haguenau-Moulin-Neuf.,41
OCESN030085R1201218074,Dossenheim-(Mairie),Haguenau-Moulin-Neuf.,69
OCESN030086R0200218075,Obermodern,Saverne-(Ht-Barr),47
OCESN030088R0200218077,Ingwiller,Saverne-(Ht-Barr),56
OCESN030089R0700718078,Saverne,Haguenau-Moulin-Neuf.,81
OCESN030091R0200218080,Bouxwiller-Babenhausen,Dossenheim-(Mairie),20
OCESN030092R0300318082,Bouxwiller-Schattenmann,Niedermodern/Uberach,25
OCESN030095R0500518086,Bouxwiller-Schattenmann,Obermodern,10
OCESN030097R0800818089,Obermodern,Haguenau-Moulin-Neuf.,31
OCESN030099R1301318093,Obermodern,Saverne,36
